"name","description","platform","gather_time","category_1","price","user_name"
"有钱人存款客户，广东深圳工商银行VIP客户5万条，大额储蓄存款第一批","有钱人存款客户，广东深圳工商银行VIP客户5万条，大额储蓄存款第一批
本商品，拍后自动网盘自动发货, 商品底部链接直接下载。
(说明清楚了) 数据具有可复制性，商品有图片格式展示，不接受任何理由退款换货，能接受再拍。","长安不夜城","2025-10-12 08:13:15","数据资源",230,"A*****3"
"富人存款客户，广东深圳龙岗区各行金卡3.5万条，银行储蓄存款客户","富人存款客户，广东深圳龙岗区各行金卡3.5万条，银行储蓄存款客户
本商品，拍后自动网盘自动发货, 商品底部链接直接下载。
(说明清楚了) 数据具有可复制性，商品有图片格式展示，不接受任何理由退款换货，能接受再拍。","长安不夜城","2025-10-12 08:13:08","数据资源",230,"A*****3"
"大额储蓄存款，广东深圳工商银行金卡4.8w，有钱人存款客户第二批","大额储蓄存款，广东深圳工商银行金卡4.8w，有钱人存款客户第二批
本商品，拍后自动网盘自动发货, 商品底部链接直接下载。
(说明清楚了) 数据具有可复制性，商品有图片格式展示，不接受任何理由退款换货，能接受再拍。","长安不夜城","2025-10-12 08:13:01","数据资源",350,"A*****3"
"京东Labella海外官方旗舰店1.5万条 女性化妆品类电商购物","京东Labella海外官方旗舰店1.5万条 女性化妆品类电商购物 
本商品，拍后自动网盘自动发货, 商品底部链接直接下载。
(说明清楚了) 数据具有可复制性，商品有图片格式展示，不接受任何理由退款换货，能接受再拍。","长安不夜城","2025-10-12 08:12:52","数据资源",230,"A*****3"
"抖音优恩母婴购物6万条，抖音宝妈粉购物电商","抖音优恩母婴购物6万条，抖音宝妈粉购物电商
本商品，拍后自动网盘自动发货, 商品底部链接直接下载。
(说明清楚了) 数据具有可复制性，商品有图片格式展示，不接受任何理由退款换货，能接受再拍。","长安不夜城","2025-10-12 08:12:41","数据资源",350,"A*****3"
"京东ezshop海外官方旗舰店5千，女性化妆品类电商购物类","京东ezshop海外官方旗舰店5千，女性化妆品类电商购物类
本商品，拍后自动网盘自动发货, 商品底部链接直接下载。
(说明清楚了) 数据具有可复制性，商品有图片格式展示，不接受任何理由退款换货，能接受再拍。","长安不夜城","2025-10-12 08:12:26","数据资源",150,"A*****3"
"京东伊利奶粉1万条，宝妈奶粉母婴电商购物","京东伊利奶粉1万条，宝妈奶粉母婴电商购物
本商品，拍后自动网盘自动发货, 商品底部链接直接下载。
(说明清楚了) 数据具有可复制性，商品有图片格式展示，不接受任何理由退款换货，能接受再拍。","长安不夜城","2025-10-12 08:12:17","数据资源",150,"A*****3"
"京东翻洋购海外官方旗舰店1w 宝妈奶粉母婴电商购物","京东翻洋购海外官方旗舰店1w 宝妈奶粉母婴电商购物
本商品，拍后自动网盘自动发货, 商品底部链接直接下载。
(说明清楚了) 数据具有可复制性，商品有图片格式展示，不接受任何理由退款换货，能接受再拍。","长安不夜城","2025-10-12 08:12:06","数据资源",150,"A*****3"
"京东盛夏光年店纸尿裤1.5万条，宝妈母婴电商购物类","京东盛夏光年店纸尿裤1.5万条，宝妈母婴电商购物类
本商品，拍后自动网盘自动发货, 商品底部链接直接下载。
(说明清楚了) 数据具有可复制性，商品有图片格式展示，不接受任何理由退款换货，能接受再拍。","长安不夜城","2025-10-12 08:11:56","数据资源",230,"A*****3"
"京东碧芭宝贝旗舰店1.5万条母婴，购物类网购宝妈母婴","京东碧芭宝贝旗舰店1.5万条母婴，购物类网购宝妈母婴
本商品，拍后自动网盘自动发货, 商品底部链接直接下载。
(说明清楚了) 数据具有可复制性，商品有图片格式展示，不接受任何理由退款换货，能接受再拍。","长安不夜城","2025-10-12 08:11:45","数据资源",230,"A*****3"
"越南车主豪车2.5万条，越南车主高收入人群","越南车主豪车2.5万条，越南车主高收入人群
本商品，拍后自动网盘自动发货, 商品底部链接直接下载。
(说明清楚了) 数据具有可复制性，商品有图片格式展示，不接受任何理由退款换货，能接受再拍。","长安不夜城","2025-10-12 08:11:29","数据资源",350,"A*****3"
"印度国际航班乘客5.6万条，印度头等舱国际航班带护照号","印度国际航班乘客5.6万条，印度头等舱国际航班带护照号
本商品，拍后自动网盘自动发货, 商品底部链接直接下载。
(说明清楚了) 数据具有可复制性，商品有图片格式展示，不接受任何理由退款换货，能接受再拍。","长安不夜城","2025-10-12 08:11:20","数据资源",350,"A*****3"
"越南电器5万条，越南电器客户","越南电器5万条，越南电器客户
本商品，拍后自动网盘自动发货, 商品底部链接直接下载。
(说明清楚了) 数据具有可复制性，商品有图片格式展示，不接受任何理由退款换货，能接受再拍。","长安不夜城","2025-10-12 08:11:13","数据资源",350,"A*****3"
"印度捐款捐献爱心人50万条，印度有爱心的慈善人群","印度捐款捐献爱心人50万条，印度有爱心的慈善人群
本商品，拍后自动网盘自动发货, 商品底部链接直接下载。
(说明清楚了) 数据具有可复制性，商品有图片格式展示，不接受任何理由退款换货，能接受再拍。","长安不夜城","2025-10-12 08:11:06","数据资源",690,"A*****3"
